2021-12-02 13:49:44.306  INFO Musso --- [           main] .b.t.a.w.s.WebMvcTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests], using SpringBootContextLoader
2021-12-02 13:49:54.640  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:54.657  INFO Musso --- [           main] Analytics                                : Feature on 1: not found
2021-12-02 13:49:54.678  INFO Musso --- [           main] Analytics                                : Feature on 2: George Franklin
2021-12-02 13:49:54.680  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for enabled: 3
2021-12-02 13:49:54.681  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.700  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.702  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:54.705  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
2021-12-02 13:49:54.723  INFO Musso --- [           main] Analytics                                : Feature off 2: Franklin, George
2021-12-02 13:49:54.725  INFO Musso --- [           main] Analytics                                : Number of searches to get it right for disabled: 2
2021-12-02 13:49:54.727  INFO Musso --- [           main] Analytics                                : Feature off 1: not found
